MasterIncidentNumber,CalendarYear,Month,DayOfMonth,Call_Type,Problem,Battalion,Jurisdiction,ResponseArea,PriorityDescription,Response Status,Districts,Location 1
15080049,2015,Aug,15,Fire,TRASH - Trash Fire,B3,AFD,00-2606,3F,Code 3,1,"(30300237, 97648220)"
15080073,2015,Aug,15,Fire,AUTO - Auto Fire,B3,AFD,00-4005,2F,Code 3,7,"(30431419, 97669823)"
15080074,2015,Aug,15,Fire,AUTO - Auto Fire,B3,AFD,00-4005,2F,Left Blank,7,"(30430202, 97670056)"
15080081,2015,Aug,15,Fire,GRASS - Small Grass Fire,B3,AFD,00-4107,3F,Code 3,1,"(30325712, 97582447)"
15054194,2015,Jun,2,Fire,AUTO - Auto Fire,B5,AFD,00-4207,2F,Code 3,2,"(30217651, 97668760)"
15080158,2015,Aug,16,Fire,TRASH - Trash Fire,B1,AFD,00-0102,3F,Code 3,9,"(30270117, 97750044)"
15054317,2015,Jun,2,Fire,DUMP - Dumpster Fire,B4,AFD,00-2902,3F,Code 3,5,"(30198671, 97840054)"
15054334,2015,Jun,2,Fire,TRASH - Trash Fire,B4,AFD,00-3605,3F,Code 3,2,"(30180416, 97801472)"
15054337,2015,Jun,2,Fire,BBQ - Unsafe Cooking,B4,AFD,00-2005,4F,Code 3,2,"(30197935, 97789763)"
15054348,2015,Jun,2,Fire,ELEC - Electrical Fire,B3,AFD,00-3001,3F,Code 3,4,"(30381815, 97711227)"
15054373,2015,Jun,2,Fire,DUMP - Dumpster Fire,B1,AFD,00-0102,3F,Code 3,9,"(30267119, 97743171)"
15054375,2015,Jun,2,Fire,AUTO - Auto Fire,B3,AFD,00-0803,2F,Code 3,4,"(30357778, 97714050)"
15054416,2015,Jun,3,Fire,DUMP - Dumpster Fire,B1,AFD,00-0201,3F,Code 3,9,"(30284038, 97745062)"
15054522,2015,Jun,3,Fire,AUTO - Auto Fire,B1,AFD,00-0901,2F,Code 3,10,"(30307873, 97741383)"
15080303,2015,Aug,16,Fire,GRASS - Small Grass Fire,B4,AFD,00-3701,3F,Code 3,8,"(30255727, 97887256)"
15080358,2015,Aug,16,Fire,BOXL- Structure Fire,B5,AFD,00-0501,1F,Code 3,3,"(30271797, 97690820)"
15080371,2015,Aug,16,Fire,TRASH - Trash Fire,B3,AFD,00-0801,3F,Code 1,4,"(30371008, 97709518)"
