MasterIncidentNumber,CalendarYear,Month,DayOfMonth,Call_Type,Problem,Battalion,Jurisdiction,ResponseArea,PriorityDescription,Response Status,Districts,Location 1
17083914,2017,Aug,26,Fire,ELEC - Electrical Fire,B3,AFD,00-1604,3F,Code 3,4,"(30328448, 97720714)"
17064200,2017,Jul,1,Fire,TRASH - Trash Fire,B3,AFD,00-0804,3F,Code 3,7,"(30365673, 97726271)"
17064202,2017,Jul,1,Fire,TRASH - Trash Fire,B4,AFD,00-3206,3F,Left Blank,8,"(30276734, 97820444)"
17064239,2017,Jul,1,Fire,ELEC - Electrical Fire,B4,AFD,00-0601,3F,Code 1,9,"(30235579, 97745421)"
17083947,2017,Aug,27,Fire,ELEC - Electrical Fire,B7,AFD,00-1805,3F,Code 3,1,"(30329594, 97680633)"
17083979,2017,Aug,27,Fire,ELEC - Electrical Fire,B4,AFD,00-2202,3F,Code 3,3,"(30243675, 97726926)"
17083992,2017,Aug,27,Fire,ELEC - Electrical Fire,B1,AFD,00-0401,3F,Code 3,9,"(30274061, 97749509)"
17084046,2017,Aug,27,Fire,ELEC - Electrical Fire,B2,AFD,00-3801,3F,Code 3,6,"(30443227, 97787813)"
17084126,2017,Aug,27,Fire,ELEC - Electrical Fire,B4,AFD,00-1701,3F,Code 3,3,"(30222995, 97764964)"
17084147,2017,Aug,27,Fire,ELEC - Electrical Fire,B5,AFD,00-4204,3F,Code 3,2,"(30202208, 97664639)"
17084270,2017,Aug,27,Fire,ELEC - Electrical Fire,B3,AFD,00-0804,3F,Code 3,7,"(30357275, 97723076)"
17064431,2017,Jul,2,Fire,TRASH - Trash Fire,B2,AFD,00-4403,3F,Code 3,6,"(30447675, 97764303)"
17064434,2017,Jul,2,Fire,DUMP - Dumpster Fire,B3,AFD,00-1603,3F,Code 3,4,"(30336642, 97718310)"
17064438,2017,Jul,2,Fire,GRASS - Small Grass Fire,B2,AFD,00-3401,3F,Code 3,6,"(30469128, 97793288)"
17064493,2017,Jul,2,Fire,AUTO - Auto Fire,B8,AFD,00-2903,2F,Code 3,5,"(30176684, 97835249)"
17064517,2017,Jul,2,Fire,AUTO - Auto Fire,B1,AFD,00-0101,2F,Code 3,3,"(30260071, 97736164)"
17064520,2017,Jul,2,Fire,BBQ - Unsafe Cooking,B2,AFD,00-4403,4F,Code 1,6,"(30438202, 97768749)"
17064535,2017,Jul,2,Fire,TRASH - Trash Fire,B4,AFD,00-1712,3F,Code 3,5,"(30229921, 97802113)"
17064577,2017,Jul,2,Fire,TRASH - Trash Fire,B1,AFD,00-0102,3F,Code 3,9,"(30268927, 97738607)"
17064581,2017,Jul,2,Fire,ELEC - Electrical Fire,B2,AFD,00-3801,3F,Code 3,6,"(30434576, 97799184)"
17064595,2017,Jul,3,Fire,GRASS - Small Grass Fire,B7,AFD,00-4001,3F,Code 3,7,"(30391072, 97655865)"
17084373,2017,Aug,27,Fire,ELEC - Electrical Fire,B1,AFD,00-0203,3F,Code 3,1,"(30278679, 97714794)"
17084471,2017,Aug,27,Fire,ELEC - Electrical Fire,B2,AFD,00-3303,3F,Code 3,10,"(30403154, 97761218)"
17084567,2017,Aug,27,Fire,BBQ - Unsafe Cooking,B2,AFD,00-3802,4F,Code 3,6,"(30457576, 97797107)"
17064729,2017,Jul,3,Fire,AUTO - Auto Fire,B3,AFD,00-3003,2F,Code 3,7,"(30397660, 97679588)"
17064765,2017,Jul,3,Fire,GRASS - Small Grass Fire,B3,AFD,00-0807,3F,Code 3,7,"(30390047, 97734958)"
17064775,2017,Jul,3,Fire,GRASS - Small Grass Fire,B3,AFD,00-2806,3F,Code 3,7,"(30444962, 97696495)"
17064773,2017,Jul,3,Fire,GRASS - Small Grass Fire,B3,AFD,00-2104,3F,Code 3,10,"(30379946, 97740436)"
17084788,2017,Aug,28,Fire,AUTO - Auto Fire,B4,AFD,00-2202,2F,Code 3,3,"(30234903, 97729841)"
17064856,2017,Jul,3,Fire,ELEC - Electrical Fire,B8,AFD,00-3601,3F,Code 3,2,"(30172552, 97792504)"
17064903,2017,Jul,3,Fire,ELEC - Electrical Fire,B3,AFD,00-0805,3F,Code 3,7,"(30370998, 97733684)"
17064927,2017,Jul,3,Fire,TRASH - Trash Fire,B3,AFD,00-1601,3F,Code 3,7,"(30336243, 97725995)"
17064930,2017,Jul,3,Fire,TRASH - Trash Fire,B3,AFD,00-0803,3F,Code 3,4,"(30359146, 97711272)"
17064995,2017,Jul,4,Fire,GRASS - Small Grass Fire,B2,AFD,00-4501,3F,Code 3,6,"(30487943, 97762822)"
17065007,2017,Jul,4,Fire,TRASH - Trash Fire,B4,AFD,00-2202,3F,Code 3,3,"(30232501, 97732492)"
17084876,2017,Aug,28,Fire,ELEC - Electrical Fire,B2,AFD,00-3810,3F,Code 3,6,"(30458715, 97765385)"
17084878,2017,Aug,28,Fire,ELEC - Electrical Fire,B1,AFD,00-0701,3F,Code 1,3,"(30253986, 97730633)"
17084889,2017,Aug,28,Fire,BBQ - Unsafe Cooking,B1,AFD,00-0301,4F,Code 1,9,"(30289443, 97747674)"
17084916,2017,Aug,28,Fire,AUTO - Auto Fire,B4,AFD,00-1702,2F,Code 3,3,"(30207639, 97779741)"
17085063,2017,Aug,29,Fire,AUTO - Auto Fire,B7,AFD,00-1805,2F,Code 3,4,"(30330082, 97688869)"
17065117,2017,Jul,4,Fire,TRASH - Trash Fire,B7,AFD,00-1802,3F,Code 3,1,"(30300566, 97682276)"
17065119,2017,Jul,4,Fire,ELEC - Electrical Fire,B7,AFD,00-2301,3F,Code 3,4,"(30358602, 97674474)"
17065128,2017,Jul,4,Fire,BBQ - Unsafe Cooking,B3,AFD,00-3002,4F,Code 1,7,"(30404051, 97698788)"
17065140,2017,Jul,4,Fire,BBQ - Unsafe Cooking,B4,AFD,00-2202,4F,Code 3,3,"(30234903, 97729841)"
17085126,2017,Aug,29,Fire,DUMP - Dumpster Fire,B3,AFD,00-3001,3F,Code 3,4,"(30372153, 97699978)"
17065169,2017,Jul,4,Fire,TRASH - Trash Fire,B1,AFD,00-0701,3F,Code 3,1,"(30264139, 97723736)"
17065183,2017,Jul,4,Fire,DUMP - Dumpster Fire,B3,AFD,00-1603,3F,Code 3,4,"(30323657, 97709245)"
17065187,2017,Jul,4,Fire,DUMP - Dumpster Fire,B4,AFD,00-2201,3F,Code 3,3,"(30225888, 97720395)"
17085148,2017,Aug,29,Fire,GRASS - Small Grass Fire,B3,AFD,00-2806,3F,Code 3,7,"(30406545, 97723756)"
17065199,2017,Jul,4,Fire,TRASH - Trash Fire,B7,AFD,00-1801,3F,Code 3,1,"(30318300, 97674674)"
17065201,2017,Jul,4,Fire,BBQ - Unsafe Cooking,B3,AFD,00-2805,4F,Code 1,7,"(30399868, 97723952)"
17065227,2017,Jul,4,Fire,GRASS - Small Grass Fire,B4,AFD,00-2204,3F,Code 3,3,"(30235580, 97701870)"
17085223,2017,Aug,29,Fire,AUTO - Auto Fire,B5,AFD,00-1503,2F,Code 3,3,"(30253981, 97698533)"
17065241,2017,Jul,4,Fire,GRASS - Small Grass Fire,B7,AFD,00-1804,3F,Code 3,4,"(30329931, 97691299)"
17085291,2017,Aug,29,Fire,ELEC - Electrical Fire,B2,AFD,00-3901,3F,Code 3,6,"(30419489, 97845993)"
17065275,2017,Jul,4,Fire,BBQ - Unsafe Cooking,B4,AFD,00-2204,4F,Code 3,3,"(30228693, 97702907)"
17065276,2017,Jul,4,Fire,AUTO - Auto Fire,B4,AFD,00-2202,2F,Code 3,9,"(30234563, 97740570)"
17065292,2017,Jul,4,Fire,GRASS - Small Grass Fire,B8,AFD,00-2705,3F,Code 3,8,"(30220761, 97863035)"
17065298,2017,Jul,4,Fire,GRASS - Small Grass Fire,B8,AFD,00-2705,3F,Left Blank,8,"(30220911, 97863041)"
17085355,2017,Aug,29,Fire,GRASS - Small Grass Fire,B1,AFD,00-0101,3F,Code 3,13,"(30266577, 97733869)"
17085361,2017,Aug,29,Fire,ELEC - Electrical Fire,B1,AFD,00-0101,3F,Code 3,3,"(30265485, 97733540)"
17065307,2017,Jul,4,Fire,AUTO - Auto Fire,B3,AFD,00-2103,2F,Code 3,10,"(30385996, 97765149)"
17065316,2017,Jul,4,Fire,GRASS - Small Grass Fire,B2,AFD,00-4506,3F,Code 3,6,"(30512578, 97754360)"
17065327,2017,Jul,4,Fire,TRASH - Trash Fire,B8,AFD,00-3604,3F,Code 3,5,"(30168402, 97817216)"
17065337,2017,Jul,4,Fire,TRASH - Trash Fire,B3,AFD,00-1401,3F,Code 3,9,"(30298745, 97697704)"
17065342,2017,Jul,4,Fire,GRASS - Small Grass Fire,B2,AFD,00-3103,3F,Code 3,10,"(30365940, 97787500)"
17085379,2017,Aug,30,Fire,ELEC - Electrical Fire,B7,AFD,00-1801,3F,Code 3,1,"(30322742, 97680633)"
17065366,2017,Jul,4,Fire,GRASS - Small Grass Fire,B7,AFD,00-4108,3F,Code 3,1,"(30326109, 97576949)"
17065380,2017,Jul,4,Fire,GRASS - Small Grass Fire,B5,AFD,00-1504,3F,Code 3,13,"(30272419, 97704829)"
17065384,2017,Jul,4,Fire,GRASS - Small Grass Fire,B5,AFD,00-1504,3F,Code 3,13,"(30272419, 97704829)"
17065385,2017,Jul,4,Fire,TRASH - Trash Fire,B2,AFD,00-2504,3F,Code 3,10,"(30409083, 97747624)"
17065391,2017,Jul,4,Fire,GRASS - Small Grass Fire,B2,AFD,00-3801,3F,Code 3,6,"(30438297, 97810871)"
17065400,2017,Jul,5,Fire,GRASS - Small Grass Fire,B8,AFD,00-4603,3F,Code 3,,"(30172530, 97871233)"
17065403,2017,Jul,5,Fire,DUMP - Dumpster Fire,B4,AFD,00-2201,3F,Code 3,3,"(30232621, 97721286)"
17065411,2017,Jul,5,Fire,GRASS - Small Grass Fire,B7,AFD,00-1801,3F,Code 3,1,"(30313730, 97683447)"
17065418,2017,Jul,5,Fire,GRASS - Small Grass Fire,B4,AFD,00-3504,3F,Code 3,2,"(30202622, 97698147)"
17065420,2017,Jul,5,Fire,DUMP - Dumpster Fire,B7,AFD,00-4005,3F,Left Blank,7,"(30447823, 97662267)"
17065426,2017,Jul,5,Fire,TRASH - Trash Fire,B5,AFD,00-0502,3F,Code 3,3,"(30271324, 97691861)"
17065457,2017,Jul,5,Fire,TRASH - Trash Fire,B3,AFD,00-3002,3F,Code 3,7,"(30396735, 97700859)"
17085579,2017,Aug,30,Fire,TRASH - Trash Fire,B1,AFD,00-0701,3F,Code 3,3,"(30262321, 97724345)"
17065492,2017,Jul,5,Fire,DUMP - Dumpster Fire,B1,AFD,00-0302,3F,Code 1,10,"(30306285, 97749669)"
